TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Anima Yell!,http://animeindo.video/wp-content/uploads/2018/10/anima.jpg,http://www.mp4upload.com/embed-ptj9hmeefar8.html,"{'Japanese': ' アニマエール！', '\nProducer': ' Doga Kobo', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Comedy, School, Sports', '\nDurasi': ' 23 min. per ep.', '\nEpisode': ' –', '\nRating': ' 6.72', '\nAdded On': ' Oktober 9th, 2018'}","Japanese: アニマエール！
Producer: Doga Kobo
Type: TV Series
Status: Ongoing
Genre: Comedy, School, Sports
Durasi: 23 min. per ep.
Episode: –
Rating: 6.72
Added On: Oktober 9th, 2018
Cerita berpusat pada Hatoya Kohane, gadis yang sangat senang membantu orang lain. Setelah beranjak memasuki SMA, dia mulai terpesona dengan Cheerleader, dia pun memulai klub Cheerleader di SMA. Teman masa kecilnya, Uki, dan anak berpengalaman, Hizume, ikut bergabung bersama Kohane dalam kegiatan memandu sorak.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Anne-Happy,https://1.bp.blogspot.com/-SUq5_dpoIlM/VwpKqqsEzNI/AAAAAAAAM50/H81MUyDLZA0ctj8zo8JbuUVPPz4sxQulw/s1600/77219__1460292250_36.80.228.117.jpg,http://www.mp4upload.com/embed-ptj9hmeefar8.html,"{'Japanese': ' あんハピ♪', '\nProducer': ' Silver Link', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Comedy, School, Slice of Life', '\nDurasi': ' 23 min. per ep.', '\nEpisode': ' 12', '\nRating': ' 7.06', '\nAdded On': ' April 10th, 2016'}","Japanese: あんハピ♪
Producer: Silver Link
Type: TV Series
Status: Ongoing
Genre: Comedy, School, Slice of Life
Durasi: 23 min. per ep.
Episode: 12
Rating: 7.06
Added On: April 10th, 2016
Sinopsis:
Menceritakan kelas 1-7 di Akademi Tennomifune, di mana semua murid yang suka sial berkumpul. Hibari, salah satu murid di kelas ini, bertemu dengan si sial Hanako di hari pertama sekolah, dan bersama-sama mereka berjuang mencari hidup bahagia di sekolah mereka.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Ansatsu Kyoushitsu,http://3.bp.blogspot.com/-oE7CtUicL6M/VXMEiasD3kI/AAAAAAAAHVE/glvyuOAcV-g/s1600/69.jpg,http://filetrip.net/embed?VC01eZDTnP,"{'Type': ' TV', '\nEpisodes': ' Unknown', '\nStatus': ' Not yet aired', '\nAired': ' Jan 10, 2015 to ?', '\nProducers': ' Lerche', 'Genres': ' Action, Comedy, School, Shounen, Supernatural'}","Sinopsis:
Episode 0 dari Ansatsu Kyoushitsu (TV). Cerita aksi dibalut komedi segar yang bercerita tentang kelas yang diberi misi khusu untuk membunuh mahluk yang telah menghancurkan 70% dari bagian bulan dan berencana memusnahakan Bumi di maret mendatang, misi kelas tersebut adalah untuk mencegah hal itu terjadi dengan membunuh sang mahluk yang menjadi pengajar mereka.
Type: TV
Episodes: Unknown
Status: Not yet aired
Aired: Jan 10, 2015 to ?
Producers: Lerche
Genres: Action, Comedy, School, Shounen, Supernatural
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Ansatsu Kyoushitsu S2,http://2.bp.blogspot.com/-rRM4ps9CToA/Vo8MEGeZF5I/AAAAAAAALTY/XsaFv_1arNs/s1600/77349__1452215270_36.73.58.89.jpg,http://filetrip.net/embed?VC01eZDTnP,"{'Status': ' Ongoing  ', 'Type': ' TV  ', 'Duration': '  ', 'Genres': ' Action, Comedy, School, Shounen'}","Info “Ansatsu Kyoushitsu S2”
Status: Ongoing  
Type: TV  
Duration:  
Genres: Action, Comedy, School, Shounen
Musim kedua dari anime Ansatsu Kyoushitsu.
Sebuah cerita lucu dan penuh aksi tentang sebuah kelas yang mencoba untuk membunuh guru baru mereka yaitu sebuah gurita alien dengan kekuatan aneh dan kekuatan super! Guru baru itu baru saja menghancurkan bulan dan mengancam akan menghancurkan Bumi, kecuali murid-muridnya bisa membunuhnya sebelum hal itu terjadi. Yang membuat semuanya jadi lebih rumit adalah karena ia guru terbaik yang pernah mereka miliki!
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Ao Haru Ride,http://animeindo.web.id/wp-content/uploads/2014/07/59947.jpg,http://www.mp4upload.com/embed-7z2tkq29ei42.html,{},"Informasi
Tipe : Serial TV
Jumlah episode : 12
Status : Sedang disiarkan
Disiarkan : 8 Juli Sampai?
Produser : Production I.G, Sentai FilmworksL, TOHO animation
Genre : Comedy, Drama, Romance, School, Shoujo, Slice of Life
Sinopsis :
Yoshioka Futaba memiliki beberapa alasan kenapa dia ingin mereset citranya & kehidupan sebagai murid baru di SMA. Karena dia cantik, dia dikucilkan oleh teman-teman perempuannya di SMP, dan karena kesalahpahaman, dia tak bisa mengutarakan perasaannya pada seorang anak laki-laki dia sukai yaitu Tanaka-kun.
Sekarang di SMA, dia bertekad untuk menjadi tak terlihat seperti wanita, sehingga teman-temannya tidak akan cemburu lagi. Saat dia sudah nyaman dengan kehidupannya, dia bertemu Tanaka-kun lagi, tapi dia sekarang merubah namanya menjadi Mabuchi Kou. Dia mengatakan padanya bahwa dia merasakan hal yang sama seperti yang ia lakukan saat mereka masih muda, tapi sekarang segalanya tak pernah bisa sama lagi. Akankah Futaba dapat melanjutkan cintanya yang bahkan belum pernah ia mulai sejak tiga tahun yang lalu?
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
